Algorithm,Severity,Traffic,Route,Travel Time (s),Computation Time (s),Success,Timestamp
adaptive_astar,CRITICAL,low,Route 1,143.0,278.9787471294403,True,2026-01-14T18:23:43.471025
adaptive_astar,CRITICAL,low,Route 2,177.0,292.89789485931396,True,2026-01-14T18:29:06.373050
adaptive_astar,CRITICAL,low,Route 3,154.0,282.209415435791,True,2026-01-14T18:34:18.572597
standard_astar,N/A,low,Route 1,251.0,256.2383050918579,True,2026-01-14T18:39:04.801117
standard_astar,N/A,low,Route 2,197.0,253.19873237609863,True,2026-01-14T18:43:48.029361
standard_astar,N/A,low,Route 3,200.0,261.3888077735901,True,2026-01-14T18:48:39.422402
dijkstra,N/A,low,Route 1,251.0,269.1883053779602,True,2026-01-14T18:53:38.603298
dijkstra,N/A,low,Route 2,196.0,251.99081563949585,True,2026-01-14T18:58:20.623629
dijkstra,N/A,low,Route 3,200.0,679.4307737350464,True,2026-01-14T19:10:10.052460
ch,N/A,low,Route 1,251.0,662.5290830135345,True,2026-01-14T19:21:42.564920
ch,N/A,low,Route 2,197.0,514.629759311676,True,2026-01-14T19:30:47.178652
ch,N/A,low,Route 3,200.0,521.9465878009796,True,2026-01-14T19:39:59.109735
chwrapper,N/A,low,Route 1,251.0,291.41101145744324,True,2026-01-14T19:45:19.631934
chwrapper,N/A,low,Route 2,197.0,305.41472578048706,True,2026-01-14T19:50:54.663875
chwrapper,N/A,low,Route 3,200.0,294.06469321250916,True,2026-01-14T19:56:18.547050
alt,N/A,low,Route 1,251.0,270.6892228126526,True,2026-01-14T20:01:19.152810
alt,N/A,low,Route 2,197.0,285.6700894832611,True,2026-01-14T20:06:36.311306
alt,N/A,low,Route 3,200.0,303.00445795059204,True,2026-01-14T20:12:11.136362
